EncouragingDiscouraging,ExpertiseScale,PosterTone,RespectfulDisrespectful,gender,speakerhidden,talkid
Discouraging,No degree,None,Disrespectful,male,absolutely brilliant.  but...two questions:  why is the defense department so interested in developing defense against small pox? (hint: so they can use small pox as a weapon with impunity.)  why did you tear your house down?  did the carpenter-ant-repelling mushrooms eat your house?,1865
Encouraging,No degree,None,Neutral,male,there is a theory that indian sages go into a state of suspended animation and can keep themselves alive without food/water for years and few people suggest that it is by reducing their bmr...,1472
Encouraging,No degree,None,Neutral,female,"ants never poison their own colony... we have a lot to learn from them   so in some ways, ants are smarter or wiser than humans?",431
Discouraging,No degree,None,Neutral,female,"the speaker is confusing the writing system with language. her system of ""learning chinese"" would be like learning english by learning spellings and what they correspond to in your native language, without anything about how to pronounce words or to put them together to form sentences.",681
Encouraging,STEM degree,None,Respectful,male,numbers can tell a compelling story but they can be quite difficult to comprehend especially when you get too many of them all together. this is a fantastic way to present a story with statistics.,1592
Encouraging,No degree,None,Respectful,female,she is right in that common language supports kinship. she brought it home for me when she was describing the smells of a shared experience.  my mother was a korean war bride. her closest friends had that in common with her. they always spoke japanese.,523
Discouraging,No degree,None,Respectful,male,"correcting for distortions i believe is a mistake.  so many truths are lost us us when, if they do not display the properties we are used to, are called distortions, and then corrected.  perhaps we should let them stand and try to expand our perceptions.",872
Encouraging,None-STEM degree,None,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1518890180596"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i was impressed your speech</span>. he spoke truth about our school system and society. i agree with you.",677
Encouraging,STEM degree,Positive,Disrespectful,male,"<br><span class=""highlighted"" data-timestamp=""1518890250210"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">hahaha, the way the man is talking is very funny</span>! it is also a very interesting idea. as a matter of fact, it's quite a good idea to make your website visitors have a good laugh, instead of making them angry with a 404-error screen.",940
Discouraging,STEM degree,None,Disrespectful,male,does not make any sense to me. does he mean to say that authorities should wait for something to happen and then scan the person? now will he be fine sharing his passwords with me/us?? #wink,335
Encouraging,No degree,Strongly Positive,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1518890394786"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i so love your enthusiasm and passion. you are seriously an incredible performer!</span>",1232
Encouraging,No degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1518890461578"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">emmanuel you are a great strong man but i find it sad that you get so hungry that you have to be tempted to eat your friend. it is good that you found music to make you happy and fight the pain.</span>",1595
Encouraging,No degree,Strongly Positive,Respectful,male,"<br>this talk was fantastic and deeply moving. <span class=""highlighted"" data-timestamp=""1518890495496"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">the fact that he can talk about a different culture with such passion speaks volumes for his empathy</span>. bloody brilliant!",1907
Discouraging,No degree,Negative,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1518890540789"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i absolutely respect his experience, etc., and his right to his opinion but i have to question the wisdom/judgment that led to him talking to rolling stone magazine about his relationship with his commander in chief.</span>",1220
Encouraging,No degree,Neutral,Neutral,female,"<br>you say ""always apologize when you've done something wrong, but don't you ever apologize for the way your eyes refuse to stop shining"", <span class=""highlighted"" data-timestamp=""1518890595275"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">but sarah. . . you apologized for telling your joke that you've been so excited to share for the past week!!! don't be sorry!!!</span>",1232
Encouraging,No degree,Neutral,Neutral,female,"<br>this one is great. the opportunities are endless. <span class=""highlighted"" data-timestamp=""1518890635393"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">has she studied what exactly happened?</span> may be the same can be repeated artificially. a large number of people, world leader deserve to lose their left hemisphere. the world would be a better place.",1887
Encouraging,STEM degree,None,Neutral,male,"i guess he is saying that consciousness is an illusion of memory, which makes you think you are aware of a moment in real time but which is really just a collection of microseconds worth of short term memories that are not quite 100% accurate.",1998
Encouraging,STEM degree,None,Neutral,male,"why does this talk not have subtitles/cc? especially when it is about hearing loss and cochlear implants. this is absolutely beyond me.   and additionally, i don't think this allows the deaf/hearing impaired to add their input, opinions, etc because they can't even watch the video in the first place.",1058
Discouraging,STEM degree,None,Disrespectful,male,there seems to be a lot of disgruntled uber drivers complaining here.   did mr. kalanick ever force anybody to be an uber driver?  if you signed up on your own free will then please feel free to quit uber.,21
Encouraging,STEM degree,None,Neutral,male,during brain surgeries they have to have the person awake and constantly talking to them to make sure that they don't cut or bump important parts of the brain. i wonder how they account for that?,1053
Encouraging,STEM degree,None,Neutral,male,"genius. my favorite lines: ""if i ran the web, you could email dead people. they would not email you back, but you'd get an automated reply.""",2037
Encouraging,STEM degree,Positive,Respectful,male,"<br>i really like his idea that mystery is more important than knowledge. every life should have some 'mystery boxes' in it. <span class=""highlighted"" data-timestamp=""1518891087319"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i cannot wait to see what he does with the 'reboot' of star trek later this year.</span>",1913
Encouraging,STEM degree,None,Respectful,male,"love the quote from his mentor... ""let the dataset change your mindset"".  brillant.",1370
Discouraging,No degree,None,Neutral,male,"i think that man helping another man to his satisfaction is not so bad to like the man who that not he helps himself  the bad, some do for mirror to society.   - norma verónica -",1919
Encouraging,None-STEM degree,Strongly Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1518893079588"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">if he were'nt a designer he would have been a perfect performing artist. he is simply brilliant</span> .............. gods gift to mankind!! <span class=""highlighted"" data-timestamp=""1518893162114"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i had the honor to have met him and spoke with him at milan this april, the excitement does not seem to wear out!!</span>",1923
Encouraging,No degree,None,Neutral,male,"in raiders of the lost arc, indiana jones is confronted by a swordsman who whirls his sword around obviously preparing to cut poor indy up. indy pulls out his gun and shoots him in the head. don't bring a knife to a gunfight.",585
Encouraging,STEM degree,None,Neutral,male,"this is great idea and fantastic demo, can't wait till they will be available for public.   and hopefully operation system will be open so people can write their own applications /wink",1708
Discouraging,STEM degree,Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1518893247661"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i have been a fan of philippe starck for years. but i must say, i was dissappointed in his many evolutionary comments and particularly, his several comments regarding god.</span> they were a slap in the face of his creator, who obviously has given him so much talent.",1923
Encouraging,No degree,None,Neutral,female,"a contagious information pattern that replicates by parasitically infecting human minds and altering their behavior, causing them to propagate the pattern. an idea or information pattern is not a meme until it causes someone to replicate it, to repeat it to someone else. all transmitted knowledge is memetic.—[1]",1854
Encouraging,None-STEM degree,None,Respectful,female,"i'm glad ted includes spoken word poetry.  her website has more of her poems: http://www.project-voice.net/videos ''this world is made of sugar and can crumble, but, don't be afraid to stick your tongue out & taste it'' ~sarah kay",1232
Encouraging,No degree,None,Neutral,male,obama wont the most popular votes more than any other presidential candidates. most of the states didn't vote for obama because of his rate. he was also saying that it is a good thing to interact with people of other races.,1660
Discouraging,No degree,None,Neutral,male,"guys:  are you thinking or feeling or both when christian introduces his f sharp in the middle of your f jam, and you gotta' react and move to it and build????? me:  sometimes think, sometimes just feel and go....can't do both at once...you?   harold",1052
Encouraging,No degree,None,Neutral,male,"children are like sponges , they absorb"" information"" like water ,whether it be true, false, good ,bad or just trivial , if there is one around you should remember that .",1805
Encouraging,STEM degree,None,Neutral,male,"very good. someone could write an ai system to respond to scammers. imagine that: you receive scam email, forward to this service and the system will keep scammers busy so that they have less time working on real people. this should contribute a bit to reducing scams...",60
Discouraging,STEM degree,None,Neutral,male,is anyone else confused about how he initially thought that grazing animals were the cause of the problem? what was it that convinced him of this initial idea? and then he radically said no no its not the grazing animals those are actually the solution. couldn't it be something else?,726
Discouraging,No degree,Negative,Disrespectful,male,"<br>great talk but fatally flawed. <span class=""highlighted"" data-timestamp=""1518895007181"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">like most ted speakers you vastly underestimate how dumb people really are.</span>  the great majority of people are barely smart enough to keep themselves breathing. solutions that require the majority to change or contribute are not solutions at all.",994
Encouraging,STEM degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1518895045778"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">ah what courage!</span> and it's true there is such little knowledge about depression in our societies.. i have known of people hiding their pain and avoiding asking for help for the fear of exclusion and the stigma society attaches with it....   <span class=""highlighted"" data-timestamp=""1518895058201"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i wish you well, kid! brave!!!!</span>",586
Encouraging,STEM degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1518895096856"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">wow, rives is talented! he manages to give child-like fantasy and quirky personality to something as cold and complex as the internet.</span> looks like i might be wasting the rest of the day listening to more of his talks!",2037
Discouraging,STEM degree,Negative,Neutral,female,"<br>except that researchers in hawaii and israel have found that the bees are dying out because of a virus.  this research was published only a year before her talk, though, <span class=""highlighted"" data-timestamp=""1518885381424"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">so i guess she can be excused</span>.  http://www.sciencedaily.com/releases/2012/06/120607142357.htm http://www.israelnationalnews.com/news/news.aspx/168978#.ujkvmgsgl1k",594
Encouraging,No degree,None,Respectful,female,the extend that people care about slavery is the same as the distance from themselves and their monitor. so much careness! lets pray and maybe god will help! yeah thats it!,859
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1518885452590"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">there is one intelligent and courageous woman. though i still think someone should tell her that applauding for yourself is considered blasphemy</span> in britain.",1637
Encouraging,No degree,None,Respectful,female,"great idea... not everyone knows what kind health service is available and how to access them. one of my friends was once looking for a counselling for his husband's anxiety and aggressive behaviour in their own language, but ended with disappointment......people in need need to information",912
Encouraging,No degree,None,Respectful,female,"awesome, my father over 80 he do up & down 6 storied building every day. i thought it may be dangerous to him. now i come to know that it is help him to build new neuron is it true?",113
Encouraging,No degree,Positive,Respectful,female,"it's so excting. specsially, ""men lie eight times more about themselves than they do other people. women lie more to protect other people."" is interested. because i think that each other are opposited",1092
Encouraging,No degree,None,Respectful,female,"18 - at length, when they came to a valley of ants. one of the ants said: o ye ants, get into your habitations, lest solomon and his hosts crush you (under foot) without knowing it."".  nobile qura'an. (the book of muslims)",1914
Encouraging,No degree,None,Respectful,female,"do it, my mother had a wieght problem. some docter perscriber her a med that she is now addicted to.  she is no longer mentaly sound.  we need to fix this problem.",912
Encouraging,No degree,None,Respectful,female,"what really makes people hesitate to go forward is a sense of guilty or drawbacks. i know overcoming them is unaviodable step in our lives, but it's quite hard. embrace all my things regardless of their value. i am sure open mind for eveything beside me will push me forward.",1287
Encouraging,No degree,Positive,Respectful,female,"<br>strange, <span class=""highlighted"" data-timestamp=""1518885601128"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she calls it hacking but we already had some fine words for that</span>. for example 'taking responsibility'. and of course citizens who take responsibility are good citizens right? ps: i completely agree with her talk",489
Encouraging,No degree,Strongly Positive,Respectful,female,"<br>very fascinating testimony of <span class=""highlighted"" data-timestamp=""1518885615011"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">her unfortunate/fortunate experience</span>!  everyone has a choice...i'm choosing to write a comment.  everything you do in ""this life"" is a choice...when you wake up in the morning...you have a choice...is this gonna be a good day or a bad day...right?  <span class=""highlighted"" data-timestamp=""1518885624175"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she is truly amazing!</span>",1887
Encouraging,No degree,None,Respectful,female,surely it's irrelevant whether the story is factual or not? it's just a story that inspired by he painting and how the viewer interprets it. it doesn't have to even feasible it's just the journey the persons imagination takes them on.,873
Encouraging,No degree,None,Respectful,female,"i quit all my jobs a few years ago, to keep showing up at the canvas. i am holding my part and the geniuses are gracious as always.  i am sure they will be there as you show up too!",1710
Encouraging,No degree,Positive,Respectful,female,does she really need to tell people this? yes because people seem to have forgotten they need other people.,971
Discouraging,No degree,Negative,Disrespectful,female,"<br>sorry, <span class=""highlighted"" data-timestamp=""1518885689406"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">what's with her shirt?  did she miss a button and no one told her or is that intentional?</span>",859
Encouraging,No degree,None,Respectful,female,please don't let them kill nasa!!!  nasa needs your help!!!!,1940
Encouraging,No degree,Positive,Respectful,female,"this is really unbelievable. how can people in north korea live in such a life? i was touched by a sentence in her last letter. "" i don't want you to lead the revolution.""",182
Encouraging,No degree,None,Respectful,female,this topic could be of strong relevance to esp those situations where demagogues exhort their people to do things against their will by making them believe false things or implant false memories of a past strife or war.,590
Discouraging,No degree,Neutral,Disrespectful,female,the monkeys should found their own monkey federal reserve so they can legally counterfeit tokens and bleed the caregivers dry or grapes.,1378
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1518885795641"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">lauren - great to finally see your presentation! i heard from your dad all about it, and just stumbled upon it here on ted. great job! </span>see you father's day weekend (possibly)!",1037
Encouraging,No degree,Neutral,Neutral,female,"<br>wonderful presentation. <span class=""highlighted"" data-timestamp=""1518885813507"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">delightful voice.</span> excellent material. <span class=""highlighted"" data-timestamp=""1518885816417"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">why did she ignore the people to her left? while presenting, she only looks forward or to her right.</span>",1092
Encouraging,No degree,None,Respectful,female,"remember that since bacteria are so old, we may not even be seeing their real communications. they may even be far more advanced, packaged into tiny cells, than we are.",1670
Encouraging,No degree,None,Neutral,female,"insects have kinky sex because they know, absolutely for certain, that their lives will be very short and nasty, so they just grab all the gusto they can.   lessons to be learned.",157
Encouraging,No degree,None,Respectful,female,this talk was amazing and inspriring. it also makes me wonder about the starlings inside a murmuration. feeling sound with your body must also happen to them. are they playing with sound? has anybody scientifically studied or modeled this? http://www.youtube.com/watch?v=irnqhi2ka9k&feature=related,1997
Encouraging,No degree,Strongly Positive,Respectful,female,"<br>admire <span class=""highlighted"" data-timestamp=""1518885882930"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">her spontaneity, being so free to express herself via multichannels.</span> fabuous!!!! while lots of people like me accept being trapped by various boundaries and geting used to restrain our feelings as a norm, it is <span class=""highlighted"" data-timestamp=""1518885889522"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">utterly refreshing to watch her</span>",1227
Encouraging,No degree,Strongly Positive,Respectful,female,"<br>temple grandin is <span class=""highlighted"" data-timestamp=""1518885908698"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">brilliant</span>. just like ken robinson s<span class=""highlighted"" data-timestamp=""1518885914790"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">he sees the need to improve education.</span> every person has particular abilities which allow them to solve problems in many different ways. <span class=""highlighted"" data-timestamp=""1518885917455"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">people like her are what we need to improve the world and solve our problems.</span>",1484
Encouraging,No degree,Positive,Respectful,female,"<br>appreciate <span class=""highlighted"" data-timestamp=""1518885953332"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">your spirit to fight back</span> and <span class=""highlighted"" data-timestamp=""1518885958463"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">wish you best wishes for your planned caree</span>r. will surely send positive message as suggested by you for somebody facing difficult time.",234
Encouraging,No degree,None,Respectful,female,"bravo girls!! you provide hope to us all that your generation (i have two kids in college now) will be able to straighten out the mess that the last few generations have left you, including mine.",856
Encouraging,No degree,None,Respectful,female,i think the key with grit is that it helps manage and leveraging your failures ... rather than to achieve your goals. not that it doesn't help you in achieving your goals ... but that's the secondary outcome. the main benefit is that it can help you overcome failures.,674
Encouraging,No degree,None,Respectful,female,i often see people isolating themselves by staring at their phones whenever possible only concentrating on their old relations. of course staying connected isn´t a bad thing but it is obvious that technology can also create isolation as well as prevent it.,1548
Discouraging,No degree,None,Disrespectful,female,"non-violence with terrorists?  they may even build a tomb over your dead body,  see how they are building near ground zero in new york on over 3000 dead bodies .",1535
Encouraging,No degree,Positive,Respectful,female,"<br>absolutely <span class=""highlighted"" data-timestamp=""1518886070864"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">brilliant comedy</span>!  i love the view of growing up catholic.    however, <span class=""highlighted"" data-timestamp=""1518886076280"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">just because she has had a bad experience with religion she has let it affect her faith</span>.     faith is understanding, religion is political manipulation.",2078
Encouraging,,Positive,Respectful,female,"<br>thandi <span class=""highlighted"" data-timestamp=""1518886095975"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">could not have put it better, with such elegancy and rawness its seems like she allowed us to experience a small part of her true self</span> and in turn made me acknowledge the idea 'oneness' because i felt like i had experienced every single thing she mentioned. beautiful.",1143
Encouraging,No degree,Positive,Respectful,female,"<br>thandi <span class=""highlighted"" data-timestamp=""1518886095975"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">could not have put it better, with such elegancy and rawness its seems like she allowed us to experience a small part of her true self</span> and in turn made me acknowledge the idea 'oneness' because i felt like i had experienced every single thing she mentioned. beautiful.",683
Encouraging,No degree,Strongly Positive,Respectful,female,"<br>because of her personal experience as a child ,<span class=""highlighted"" data-timestamp=""1518886120139"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she understand what a child really need.she devoted herself to those low-performing schools and struggled to change them</span> .i can truely feel that <span class=""highlighted"" data-timestamp=""1518886125466"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she loves her students very much!</span>",183
Encouraging,No degree,None,Respectful,female,"did it hit me hard when i first heard it?..no..but it kind of remained in my conscience mind for long..i felt connected..and i think that's what she is talking about..feel!!.. everyone has their own way of feeling things..but as long as u do, i think that's what counts.",1232
Discouraging,No degree,Neutral,Neutral,female,"<br>couldn't the microphone have been a different color? the whole time <span class=""highlighted"" data-timestamp=""1518886176948"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i wondered if he had some huge wart on his cheek.</span>",1238
Discouraging,No degree,None,Neutral,female,"this is ridiculous, dolphins don't have language. they communicate gestures with sounds and movements, like most other animals. if they had language, you would see clear evidence of a complex society. on this planet, only humans posses language skills.",655
Encouraging,No degree,Positive,Respectful,female,"<br>alix's story is very inspiring and unbelievable for many with just words, it is <span class=""highlighted"" data-timestamp=""1518886213297"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">truly inspiring how she turned around her life and achieved all those success in her life.</span>",147
Discouraging,No degree,Negative,Disrespectful,female,"<br><span class=""highlighted"" data-timestamp=""1518886236133"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">this woman is a completely unprofessional person. how could she possibly believe that the extent of her field experience should be the soul reason that she be allowed to handle such a sensitive issue like this?</span>",1457
Encouraging,No degree,Positive,Neutral,female,"<br>i would think <span class=""highlighted"" data-timestamp=""1518886258398"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">your dream for the marathon was a big catalyst in the healing of you personally</span> . when we take our minds off our own troubles and work on another it tends to make us better mentally and physically",605
Encouraging,No degree,Positive,Respectful,female,"<br>in my opinion, <span class=""highlighted"" data-timestamp=""1518886273439"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">you are wonderful, capable and gifted professional doctor regardless </span>all the rubbish rumors which was published about you. i think there is jealousy because of your track record of success. <span class=""highlighted"" data-timestamp=""1518886275686"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">god bless you, and give you good health &amp; strength</span>!",1210
Encouraging,No degree,None,Respectful,female,"we have to ""live the present"", to experience fully with our 5 senses, so listening to music involves much more than simply letting sound waves hit our eadrums. of course, if the an artist like you show his passion & perform superb, the quality of the experience makes the difference.",1997
Encouraging,No degree,Strongly Positive,Respectful,female,"<br>joan is <span class=""highlighted"" data-timestamp=""1518886316990"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">speaking from experience and from the heart. i hear her words but i feel her more.  she is full of compassion. i cried. she has transformed me</span>.",1120
Encouraging,No degree,None,Respectful,female,"notice her comment at the end - ""brain implant"" - the beginning of computers and external sources replacing the human brain....this is scary and very android - remember terminator? can humans use this to their benefit without destroying themselves?",1691
Encouraging,No degree,Positive,Respectful,female,"<br>i think it needs pointing out that such appearance requires immense courage since you basicaly go and put yourself there with yout story that could completely hit home or leave a murmur of dissapointement.   an idea definately wort spreading. <span class=""highlighted"" data-timestamp=""1518886364858"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">keep on going at it elizabeth!</span>",1710
Encouraging,No degree,Positive,Respectful,female,"<br>very <span class=""highlighted"" data-timestamp=""1518886377673"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">interesting performance</span>. very abstract and metaphorical, but i think when you boil it all down you're left with ""don't spend all your time on your bb/iphone/android/laptop, remember to live in the real world or risk missing out on a big part of your identity.""  i can agree with that.",562
Discouraging,No degree,None,Respectful,female,i see nothing wrong with wanting your picture taken 'the indian guy' people want their picture taken because of the culture they represent rather that the colour of their skin.,951
Discouraging,No degree,Negative,Respectful,female,"<br>prophet muhammad (s) was afraid ok... but it wasn't doubt at all, nor disbelief... and of course he never thought about ending his own life for that... sorry <span class=""highlighted"" data-timestamp=""1518886423091"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">you're not accurate</span> in interpreting what you think muslims ""think"" is true",643
Encouraging,No degree,Positive,Respectful,female,"<br>this is revolutionary. <span class=""highlighted"" data-timestamp=""1518886438153"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she destroys the limits that the ""great masters"" created. she is a lightning that burns everything in her way;</span> an act of destruction became an act of creation and life.",601
Encouraging,No degree,Positive,Respectful,female,"<br>elizabeth has<span class=""highlighted"" data-timestamp=""1518886457060"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true""> very accurately summarised </span>the aspects which concern creative people in our world. she has <span class=""highlighted"" data-timestamp=""1518886463465"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">used her personal experience to elucidate her point which is actually very courageous</span>. her talk is having enough humour and wittiness to keep the audience captivated. a very inspiring talk.  www.brainsight.co.in",1710
Encouraging,No degree,None,Respectful,female,my hands break the brutal chains of ancient mistakes and errors (with as little violence as possible)   i love you jane goodall. humanity is indebted to your passion.,2001
Discouraging,No degree,None,Respectful,female,all governments are dictatorships. you either obey them or you are forced to pay the price. there isn't a government on earth that doesn't violate the rights of its citizens.,1756
Encouraging,No degree,None,Respectful,female,bacteria also talk to their host cells telling them to surrender or face consequences @ http://www.labome.org/research/membrane-vesicle-trafficking-in-prokaryotes-molecular-biomechanics-of-biogenesis-of-outer-membrane-v.html,1670
Discouraging,No degree,Negative,Disrespectful,female,"<br><span class=""highlighted"" data-timestamp=""1518886658727"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she does not sound like she's talking. she sounds like she's struggling to recite her prepared speech full of premeditated impromptu jokes.  which is a stark contract from most ted talks. unfortunately.</span>",1458
Encouraging,No degree,Positive,Respectful,female,"<br>i don´t know if <span class=""highlighted"" data-timestamp=""1518886674766"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">her words were more powerful than her body language</span>, or the other way around ...<span class=""highlighted"" data-timestamp=""1518886679665"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">however i do know , that she has the power of communication........what a fantastic young lady</span>.",1232
Encouraging,No degree,None,Respectful,female,"if you know anyone is run afoul of the hiv laws, have them check out the office of medical justice omsj.org. in every case they've been involved in so far, the charges have been dropped.",929
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1518886710698"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i agree</span> with brene brown. i think people should be vulnerable, but at the same time they should keep their expectations low. also to have in mind that they might get hurt so if when it happens it it wont hit you as hard.",1287
Discouraging,No degree,Negative,Disrespectful,female,"<br>may be a good artist and good message, but wrong content. these people are less sensitive to sentiments and twist plots and stories to their best. what the hell, you did this many times. <span class=""highlighted"" data-timestamp=""1518886731552"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i wish you better be little sensitive</span>.",1535
Encouraging,No degree,Positive,Disrespectful,female,"<br><span class=""highlighted"" data-timestamp=""1518886748312"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">good for you monica</span>! the people in our society who really ought to be ashamed are those whose only way of attracting attention or making a living is to criticize and humiliate others. they are maggots; they feed on sores.",234
Encouraging,No degree,Positive,Respectful,female,"<br>this was a very inspiring and authentic ted.  <span class=""highlighted"" data-timestamp=""1518886769891"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i was very moved by her examination of self and navigating the journey of who she was, who she is and who she is yet to become</span>.  the talk of oneness was also refreshing.  <span class=""highlighted"" data-timestamp=""1518886790902"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">kudos to ms. newton</span> for this ""talk"".",1143
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1518886804006"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">she is very courageous</span> and though i like bill, he threw her under the bus which was wrong. who has not had a shameful incident in their life? what if yours was broadcast all over the world?",234
Discouraging,No degree,None,Respectful,female,how does 'regret' as a feeling helps you to get closer to what you desire in life? aren't there better ways how you could use your emotional capacity?,1057
Encouraging,No degree,Positive,Respectful,female,"<br>hello to all 1 ro 10% human folks around. bonnie bassler: <span class=""highlighted"" data-timestamp=""1518886869378"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">you are a  wonderful scientist and speaker. sorry for your modesty</span>. we knew bacteria essential to human life but both your quorum sensing approach and perspectives you draw open tremendous hope for humankind. <span class=""highlighted"" data-timestamp=""1518886879852"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i send you a thank-you-so-much</span> hormone.",1670
Discouraging,No degree,Neutral,Respectful,female,"<br>it was surprisingly pleasant to listen to. yet, i could not resist the impression that this <span class=""highlighted"" data-timestamp=""1518886901297"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">attractive intelligent woman is idealising her father</span> because he was the only one she had.",1118
Encouraging,No degree,None,Respectful,female,"kids have to come with new experiments.we have to encourage them because future is in their hand. do not discourage them. if any mistake come from them we should have to inform them. but, it should be in polite manner.",1037
Encouraging,No degree,Strongly Positive,Respectful,female,"<br>all i can say - new to design - <span class=""highlighted"" data-timestamp=""1518886930994"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i fell in love with her</span> and the links she presented. <span class=""highlighted"" data-timestamp=""1518886933439"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">very inspiring</span>.",1911
Encouraging,No degree,None,Respectful,female,"i love this website, it really let's you explore different issues which are and have been raised through different speeches. i really enjoy public speaking myself and think they should use a lot of this material in school.",1670
Encouraging,No degree,None,Respectful,female,"yes interesting, i find it funny that when you ask someone a question they tend to answer on why you asked the question. say...do you know where the store is ?  y/n   most people give you directions to the store. by changing the question you can manipulate the answer.",1583
Encouraging,No degree,None,Respectful,female,the hackers could show them how to protect their security systems better. it is virtually impossible to stop them from hacking you if they have their mind set on it. for most of them it is a game done on a worldwide scale.,1114
